id,date,ftp
2163639,2018-10-02,261
2163639,2018-09-14,260
2163639,2018-09-01,264
2163639,2018-07-31,260
2163639,2018-06-04,255
2163639,2018-03-20,278
2163639,2018-01-23,267
2163639,2017-12-02,265
2163639,2017-11-30,260
2163639,2017-11-28,249
2163639,2017-08-09,268
2163639,2017-06-20,263
2163639,2017-03-21,266
2163639,2017-01-17,261
2163639,2016-11-23,252
2163639,2016-10-18,251
2163639,2016-09-27,223
2163639,2016-08-14,249
2163639,2016-07-10,232
2163639,2016-06-26,216
2163639,2015-07-31,209
2163639,2015-04-30,192
2163639,2015-04-23,186
