avg_cadence,avg_heart_rate,avg_power,avg_speed,enhanced_avg_speed,enhanced_max_speed,ftp,id,intensity_factor,max_cadence,max_heart_rate,max_power,max_speed,normalized_power,threshold_power,timestamp,total_ascent,total_calories,total_cycles,total_descent,total_distance,total_elapsed_time,total_fat_calories,total_timer_time,training_stress_score
92,,,9.249,9.249,14.841,189,4917647,,107,,,14.841,,,2015-01-30 16:29:35,2,943.0,5058,0.0,30544.9,3302.661,0.0,3302.661,
,,,8.249,8.249,14.615,242,4917647,,,,,14.615,,,2017-01-21 13:52:21,202,720.0,,190.0,18982.3,2367.557,0.0,2301.031,
76,,,7.642,7.642,15.147,189,4917647,,112,,,15.147,,,2015-04-06 08:56:21,336,1744.0,7479,334.0,48409.6,6930.423,0.0,6334.308,
86,,174,9.744,9.744,12.494,202,4917647,0.967,111,,336,12.494,193,200,2016-02-28 17:30:00,0,719.0,5979,0.0,40444.42,4153.609,,4150.611,107.0
73,,,7.182,7.182,16.439,193,4917647,,234,,,16.439,,,2015-08-09 12:06:00,1000,3373.0,13802,1011.0,91638.96,14130.813,0.0,12759.972,
84,,,8.61,8.61,14.943,324,4917647,,109,,,14.943,,,2017-09-02 16:44:36,239,1157.0,4634,240.0,30714.36,5343.597,0.0,3567.301,
73,,,7.81,7.81,15.142,193,4917647,,108,,,15.142,,,2015-09-13 08:47:25,655,2422.0,9510,654.0,64367.67,8335.277,0.0,8241.278,
85,,171,9.589,9.589,12.326,324,4917647,0.528,94,,318,12.326,211,400,2017-04-04 16:01:12,1,773.0,6425,0.0,43260.21,4511.531,,4511.531,34.7
30,,,0.857,0.857,1.905,202,4917647,,35,,,1.905,,,2016-06-26 06:44:05,0,391.0,1197,183.0,1993.14,2324.482,,2324.482,
75,,,7.376,7.376,17.313,242,4917647,,111,,,17.313,,,2018-05-27 10:09:11,903,3395.0,15522,933.0,97419.48,14926.118,0.0,13206.924,
84,,,8.409,8.409,12.359,202,4917647,,116,,,12.359,,,2016-03-02 17:35:38,9,951.0,5034,13.0,30322.18,3606.128,0.0,3606.128,
75,,,7.597,7.597,17.305,189,4917647,,120,,,17.305,,,2014-09-21 09:27:11,571,1865.0,7435,585.0,48228.01,6353.625,0.0,6348.623,
79,,,8.247,8.247,14.896,284,4917647,,112,,,14.896,,,2017-03-19 10:19:31,726,3190.0,13300,730.0,87958.36,10771.024,0.0,10665.019,
74,,,8.069,8.069,15.566,202,4917647,,98,,,15.566,,,2016-07-24 09:22:15,470,2524.0,10114,486.0,71150.39,9191.069,0.0,8817.23,
88,,,9.21,9.21,10.902,189,4917647,,95,,,10.902,,,2014-11-03 08:22:02,0,1317.0,5134,0.0,32164.95,3492.253,0.0,3492.253,
80,,,10.563,10.563,11.807,189,4917647,,92,,,11.807,,,2015-01-24 17:52:47,0,1059.0,3601,4.0,28606.56,2708.174,0.0,2708.174,
91,,,9.588,9.588,12.721,189,4917647,,101,,,12.721,,,2015-02-21 20:13:56,0,1246.0,5441,4.0,34581.76,3606.753,0.0,3606.753,
84,147,170,9.596,9.596,12.382,202,4917647,0.479,114,172,292,12.382,191,400,2016-07-18 19:44:46,0,646.0,5311,0.0,36518.19,3809.593,,3805.596,23.9
83,,187,10.026,10.026,12.121,284,4917647,0.504,105,,298,12.121,202,400,2017-02-14 19:25:57,1,777.0,5754,1.0,41736.39,4347.818,,4162.847,29.1
90,,174,9.676,9.676,12.261,324,4917647,0.848,102,,313,12.261,205,242,2017-06-27 18:35:42,1,626.0,5426,1.0,34844.92,3601.011,,3601.011,71.4
73,,,7.367,7.367,16.933,189,4917647,,117,,,16.933,,,2014-07-26 07:31:20,529,1809.0,7470,526.0,48461.42,6583.329,0.0,6578.337,
,,,5.918,5.918,13.539,242,4917647,,,,,13.539,,,2018-02-25 21:52:26,1305,3996.0,,1283.0,111537.52,19811.876,,18846.92,
82,,,8.323,8.323,12.035,189,4917647,,101,,,12.035,,,2014-11-06 10:46:38,3,683.0,3292,0.0,19995.16,2402.378,0.0,2402.378,
76,,,7.441,7.441,16.486,202,4917647,,119,,,16.486,,,2016-02-07 12:25:28,1029,3602.0,14773,1034.0,96161.68,15267.572,0.0,12922.727,
87,141,,7.596,7.596,11.355,201,4917647,,106,166,,11.355,,,2016-01-21 13:09:24,2,447.0,3662,3.0,19062.58,2509.436,,2509.436,
79,,180,9.96,9.96,11.626,193,4917647,0.908,90,,276,11.626,182,200,2015-10-09 07:27:41,1,644.0,4792,0.0,36053.38,3619.872,,3619.872,82.2
74,,,7.071,7.071,15.915,189,4917647,,229,,,15.915,,,2015-06-07 11:20:31,1543,4521.0,18141,1531.0,117307.18,18061.503,0.0,16590.294,
77,,,8.298,8.298,18.608,242,4917647,,108,,,18.608,,,2018-05-07 10:30:49,785,3936.0,15821,742.0,109470.42,15684.428,0.0,13192.78,
80,,,7.69,7.69,15.935,189,4917647,,114,,,15.935,,,2014-12-14 15:46:02,416,1812.0,2732,393.0,49258.72,9743.881,0.0,6405.587,
74,,,7.526,7.526,15.215,194,4917647,,105,,,15.215,,,2015-12-17 17:35:40,493,1719.0,6895,493.0,45142.77,6059.124,0.0,5998.127,
83,,168,9.523,9.523,11.178,202,4917647,0.428,88,,239,11.178,171,400,2016-07-22 19:43:09,0,355.0,2871,0.0,20027.29,2105.069,,2103.07,10.5
80,,,7.42,7.42,14.718,242,4917647,,115,,,14.718,,,2018-02-18 12:09:32,1001,2891.0,12491,1018.0,79140.14,12654.529,0.0,10665.774,
79,,,8.129,8.129,16.182,324,4917647,,125,,,16.182,,,2017-04-17 10:34:34,1018,3862.0,15654,1049.0,104733.2,14006.697,0.0,12884.552,
79,,,8.149,8.149,14.638,324,4917647,,103,,,14.638,,,2017-08-25 17:27:32,424,1661.0,6804,425.0,45735.76,5804.197,0.0,5612.457,
70,,,7.018,7.018,22.067,202,4917647,,207,,,22.067,,,2016-04-10 09:51:25,759,2304.0,8667,745.0,56835.86,10258.994,,8098.551,
79,,,8.489,8.489,15.716,324,4917647,,105,,,15.716,,,2017-07-16 09:00:12,702,3110.0,12462,699.0,84333.7,9982.576,0.0,9934.576,
90,,,9.507,9.507,14.06,189,4917647,,102,,,14.06,,,2015-03-02 20:22:24,4,1173.0,5069,13.0,32160.92,3382.967,0.0,3382.967,
67,,,9.683,9.683,13.274,189,4917647,,91,,,13.274,,,2014-02-07 19:50:38,9,994.0,3441,0.0,30121.65,3111.681,0.0,3110.681,
74,,,7.762,7.762,13.853,202,4917647,,117,,,13.853,,,2016-06-24 14:51:22,277,1201.0,4551,276.0,32542.19,6314.148,0.0,4192.344,
86,156,194,10.186,10.186,13.343,202,4917647,0.998,119,168,373,13.343,200,200,2016-03-12 08:52:47,0,709.0,5263,0.0,37358.32,3671.78,,3667.781,100.8
74,,,7.664,7.664,17.474,202,4917647,,107,,,17.474,,,2016-07-03 08:34:38,2013,5713.0,22497,2174.0,148489.62,609083.387,0.0,19375.549,
81,,,8.7,8.7,19.816,324,4917647,,114,,,19.816,,,2017-10-14 19:26:12,928,3371.0,13554,930.0,90601.28,10421.051,0.0,10414.389,
74,,,7.358,7.358,16.963,202,4917647,,124,,,16.963,,,2016-04-02 11:15:32,1037,4698.0,21761,1032.0,141016.82,758193.41,0.0,19165.343,
74,,,8.321,8.321,15.349,207,4917647,,100,,,15.349,,,2016-09-28 12:34:21,266,1196.0,4335,277.0,31734.89,3826.722,0.0,3813.727,
85,,186,10.039,10.039,13.222,324,4917647,0.842,102,,384,13.222,204,242,2017-08-29 17:51:34,0,448.0,3435,0.0,24121.1,2402.738,,2402.738,46.7
85,,181,9.95,9.95,14.351,194,4917647,0.936,111,,409,14.351,187,200,2015-12-24 08:02:32,12,613.0,4838,11.0,33956.67,3552.67,,3412.787,82.4
72,,,9.342,9.342,12.149,189,4917647,,94,,,12.149,,,2014-02-22 12:06:28,0,695.0,2277,0.0,17755.25,1900.505,0.0,1900.505,
83,,,11.554,11.554,14.53,189,4917647,,99,,,14.53,,,2014-01-27 16:03:02,8,1123.0,4013,0.0,34144.22,2970.174,0.0,2955.182,
70,,,6.185,6.185,9.884,189,4917647,,89,,,9.884,,,2014-12-14 07:49:37,5,37.0,178,42.0,1508.8,306.416,0.0,243.938,
83,,,7.775,7.775,17.644,324,4917647,,117,,,17.644,,,2017-05-25 07:10:15,668,2268.0,10065,691.0,60976.3,8134.726,,7842.478,
75,,,8.117,8.117,14.363,242,4917647,,100,,,14.363,,,2018-07-11 07:05:44,253,1234.0,4979,271.0,35143.32,4773.426,0.0,4329.557,
70,,,7.41,7.41,14.261,189,4917647,,100,,,14.261,,,2014-06-01 10:14:12,509,1733.0,6867,506.0,45639.61,6169.496,0.0,6159.499,
85,,169,9.618,9.618,11.215,194,4917647,0.929,105,,246,11.215,186,200,2016-01-02 09:01:41,3,610.0,5153,2.0,34964.03,3635.416,,3635.416,86.6
64,,,5.748,5.748,14.67,202,4917647,,113,,,14.67,,,2016-06-19 15:23:21,344,1453.0,7391,373.0,47996.3,11092.107,0.0,8350.171,
80,,,7.02,7.02,16.228,189,4917647,,117,,,16.228,,,2014-03-09 20:51:46,297,1268.0,5811,295.0,35682.95,6265.573,0.0,5082.977,
87,,184,9.952,9.952,11.271,242,4917647,0.497,92,,251,11.271,199,400,2016-11-12 15:09:03,1,714.0,5647,0.0,38658.41,3900.358,,3884.429,26.4
86,,,6.092,6.092,7.651,242,4917647,,111,,,7.651,,,2016-10-19 11:43:56,2,298.0,2755,41.0,11707.58,1947.654,0.0,1921.907,
76,,,8.739,8.739,10.31,201,4917647,,99,,,10.31,,,2016-01-24 11:01:09,59,1452.0,5240,63.0,36303.02,4155.063,,4154.064,
86,,,7.672,7.672,10.36,189,4917647,,113,,,10.36,,,2014-09-07 14:57:04,0,358.0,2223,33.0,12058.49,1895.522,0.0,1571.746,
93,,,7.378,7.378,11.947,194,4917647,,102,,,11.947,,,2015-12-29 19:04:14,0,234.0,1651,0.0,7867.39,2095.373,0.0,1066.283,
81,,,7.655,7.655,17.336,324,4917647,,112,,,17.336,,,2017-05-26 07:23:16,663,2057.0,8855,669.0,54448.64,7375.447,,7112.388,
82,,,8.676,8.676,15.356,202,4917647,,106,,,15.356,,,2016-07-15 12:44:16,281,1246.0,4587,289.0,31599.55,3719.275,0.0,3642.295,
83,,169,9.593,9.593,11.775,202,4917647,0.954,109,,293,11.775,191,200,2016-03-24 07:59:18,0,697.0,5772,0.0,39758.5,4198.141,,4144.364,104.1
88,,,9.018,9.018,12.241,189,4917647,,105,,,12.241,,,2014-10-26 07:27:31,0,992.0,3920,2.0,24170.33,2680.179,0.0,2680.179,
92,0,187,10.845,10.845,17.775,284,4917647,,109,0,380,17.775,202,,2017-01-30 15:35:00,0,699.0,,,39041.35,3600.012,,3600.012,
82,143,189,10.116,10.116,12.512,202,4917647,0.989,104,166,334,12.512,198,200,2016-05-26 18:18:52,0,698.0,5058,0.0,37401.56,3704.352,,3697.356,99.7
75,,,6.915,6.915,14.716,189,4917647,,114,,,14.716,,,2014-02-22 17:07:16,524,1767.0,7768,538.0,47627.84,8378.118,0.0,6887.604,
72,,,5.962,5.962,18.45,189,4917647,,203,,,18.45,,,2014-07-06 10:47:32,1647,5636.0,24497,1659.0,162516.88,32687.798,0.0,27256.931,
75,144,,5.903,5.903,7.157,202,4917647,,108,156,,7.157,,,2016-01-31 19:23:25,2,767.0,5342,7.0,25186.6,4266.795,,4266.795,
,,,7.205,7.205,15.545,202,4917647,,,,,15.545,,,2016-05-29 09:54:48,1062,3254.0,,1055.0,86687.78,13671.18,,12031.195,
92,,,7.769,7.769,11.073,189,4917647,,103,,,11.073,,,2015-02-27 17:34:04,0,926.0,5509,0.0,28015.7,3606.2,0.0,3606.2,
75,,,7.571,7.571,11.859,202,4917647,,246,,,11.859,,,2016-05-07 08:54:34,96,305.0,1148,45.0,7395.96,1510.896,,976.898,
82,141,170,9.77,9.77,11.215,202,4917647,0.875,104,155,248,11.215,175,200,2016-05-25 18:12:42,0,522.0,4230,0.0,30047.53,3075.632,,3075.632,64.9
88,,,10.382,10.382,12.983,189,4917647,,97,,,12.983,,,2014-10-18 20:17:28,0,1067.0,3973,4.0,28283.98,2724.223,0.0,2724.223,
78,,,7.757,7.757,14.047,242,4917647,,97,,,14.047,,,2018-09-03 18:12:59,227,1050.0,4329,211.0,29604.41,3864.372,0.0,3816.401,
83,,,8.101,8.101,16.144,324,4917647,,120,,,16.144,,,2017-08-27 10:56:55,752,3429.0,14873,748.0,97291.34,15017.022,0.0,12009.721,
84,149,185,9.942,9.942,12.774,189,4917647,0.962,91,171,350,12.774,192,200,2015-07-21 06:33:20,0,490.0,3706,0.0,26507.24,2666.285,,2666.285,67.6
86,,174,9.741,9.741,11.803,202,4917647,0.975,105,,282,11.803,195,200,2016-01-29 14:55:57,7,714.0,5906,7.0,40040.79,4115.512,,4110.402,107.8
73,140,,7.405,7.405,16.497,202,4917647,,241,164,,16.497,,,2016-05-15 08:31:18,890,1363.0,11109,916.0,72900.86,10085.13,,9844.288,
77,,,8.487,8.487,15.812,202,4917647,,110,,,15.812,,,2016-08-17 13:00:13,209,883.0,3133,213.0,23325.04,2842.223,0.0,2748.236,
75,,,6.618,6.618,14.755,189,4917647,,115,,,14.755,,,2015-03-29 13:43:58,935,2416.0,10303,886.0,62701.57,16992.17,0.0,9474.463,
74,,,8.603,8.603,13.953,202,4917647,,111,,,13.953,,,2016-04-21 07:58:17,486,2736.0,10560,417.0,75719.81,299313.665,0.0,8801.871,
,,,6.883,6.883,13.719,189,4917647,,,,,13.719,,,2013-09-27 16:28:50,416,1399.0,,412.0,39963.45,6525.229,0.0,5806.072,
,,,4.087,4.087,4.507,242,4917647,,,,,4.507,,,2017-01-22 09:14:06,9,749.0,,14.0,10096.76,2470.537,,2470.537,
82,,,9.059,9.059,12.889,189,4917647,,99,,,12.889,,,2015-01-10 17:52:07,0,1135.0,4500,4.0,29901.15,3301.774,0.0,3300.775,
,,,5.589,5.589,17.262,193,4917647,,,,,17.262,,,2015-07-27 17:18:32,560,1173.0,,547.0,30877.58,8563.966,,5524.801,
74,,,7.906,7.906,15.864,202,4917647,,103,,,15.864,,,2016-06-04 08:15:18,782,2394.0,9468,776.0,63784.82,44148.852,0.0,8067.848,
81,,,9.441,9.441,12.161,189,4917647,,97,,,12.161,,,2015-01-03 14:39:32,1,1388.0,5234,10.0,36867.09,3905.154,0.0,3905.154,
92,,,8.186,8.186,11.436,189,4917647,,101,,,11.436,,,2015-05-08 14:32:15,4,786.0,3236,0.0,22354.04,9902.16,0.0,2730.87,
77,,,7.646,7.646,15.584,284,4917647,,111,,,15.584,,,2017-02-12 11:41:50,877,3590.0,14397,898.0,100554.1,15408.924,0.0,13151.279,
79,,149,9.219,9.219,13.474,202,4917647,0.802,103,,351,13.474,160,200,2016-06-01 07:07:54,1,400.0,3568,0.0,24707.11,2685.696,,2679.902,47.4
86,,181,9.884,9.884,12.792,207,4917647,0.496,107,,352,12.792,199,400,2016-10-01 17:44:05,1,701.0,5583,0.0,38452.13,3895.51,,3890.514,26.4
81,,,8.033,8.033,10.24,189,4917647,,100,,,10.24,,,2014-07-19 08:43:35,0,875.0,4917,6.0,29225.11,3642.104,0.0,3638.099,
,,,7.978,7.978,16.011,202,4917647,,,,,16.011,,,2016-08-28 09:03:53,541,2980.0,,560.0,81261.14,10937.795,,10185.689,
77,,,8.273,8.273,11.58,189,4917647,,93,,,11.58,,,2014-10-12 13:00:04,4,500.0,2320,0.0,14947.91,1807.928,0.0,1806.929,
79,,,7.599,7.599,16.928,242,4917647,,131,,,16.928,,,2016-11-27 11:25:34,1033,2866.0,11117,1040.0,73659.24,11537.407,0.0,9693.671,
