avg_cadence,avg_heart_rate,avg_power,avg_speed,enhanced_avg_speed,enhanced_max_speed,ftp,id,intensity_factor,max_cadence,max_heart_rate,max_power,max_speed,normalized_power,threshold_power,timestamp,total_ascent,total_calories,total_cycles,total_descent,total_distance,total_elapsed_time,total_fat_calories,total_timer_time,training_stress_score
72,,,10.55,10.55,14.055,189,4917647,,95,,,14.055,,,2014-02-09 08:14:33,7,930.0,3264,11.0,28705.32,2720.975,0.0,2720.975,
82,,167,9.321,9.321,12.121,242,4917647,0.469,91,,270,12.121,188,400,2016-10-27 19:18:37,1,610.0,4928,2.0,33916.92,3638.752,,3638.752,21.8
80,,,7.364,7.364,14.985,324,4917647,,111,,,14.985,,,2017-11-05 10:30:25,771,2390.0,10849,789.0,66283.4,10733.822,0.0,9000.941,
71,,,9.541,9.541,13.673,189,4917647,,96,,,13.673,,,2014-05-04 06:37:31,0,1101.0,3954,6.0,32170.21,3455.129,0.0,3371.88,
81,,164,9.407,9.407,11.411,194,4917647,0.916,107,,255,11.411,183,200,2015-12-11 07:53:02,0,636.0,5310,2.0,36639.97,3894.977,,3894.977,90.2
92,0,189,10.997,10.997,15.687,284,4917647,,107,0,354,15.687,205,,2017-02-01 15:44:00,0,708.0,,,39586.22,3600.018,,3600.018,
80,,,6.94,6.94,16.116,300,4917647,,110,,,16.116,,,2017-12-23 12:48:30,1074,3587.0,18028,1067.0,103889.52,15608.382,0.0,14968.825,
77,,,6.646,6.646,14.145,189,4917647,,123,,,14.145,,,2014-04-13 19:10:33,195,596.0,2779,132.0,15934.0,3044.304,0.0,2397.703,
81,,,8.449,8.449,14.474,284,4917647,,104,,,14.474,,,2017-03-25 08:40:41,269,1188.0,4714,284.0,31640.5,3788.424,0.0,3745.002,
75,,,7.733,7.733,15.404,189,4917647,,104,,,15.404,,,2015-05-02 08:25:38,616,1905.0,7297,586.0,48837.09,8328.888,0.0,6315.409,
85,,,11.045,11.045,14.336,189,4917647,,96,,,14.336,,,2014-01-17 13:49:29,175,1045.0,3931,0.0,30967.02,259787.077,0.0,2803.732,
75,,,7.459,7.459,15.331,242,4917647,,102,,,15.331,,,2018-04-29 08:51:27,319,1759.0,8139,342.0,54590.33,7906.574,0.0,7318.831,
89,,165,9.551,9.551,12.186,202,4917647,0.844,103,,308,12.186,169,200,2016-04-16 09:27:00,0,197.0,1784,0.0,11439.18,1197.755,,1197.755,23.1
,,,8.105,8.105,16.982,324,4917647,,,,,16.982,,,2017-05-14 09:36:38,779,3361.0,,796.0,91316.12,12133.673,,11266.441,
83,,158,9.383,9.383,11.701,194,4917647,0.862,107,,269,11.701,172,200,2015-12-19 08:56:38,4,609.0,5421,1.0,36413.22,3880.936,,3880.936,79.6
83,,,10.097,10.097,14.055,189,4917647,,96,,,14.055,,,2014-01-18 17:05:48,6,1400.0,5118,6.0,37650.94,3745.803,0.0,3728.81,
77,,,11.092,11.092,16.415,189,4917647,,112,,,16.415,,,2014-02-14 08:20:05,29,1344.0,4697,36.0,41013.74,3697.624,0.0,3697.624,
89,,189,9.939,9.939,11.953,324,4917647,0.897,97,,289,11.953,217,242,2017-06-13 16:53:19,0,678.0,5324,0.0,35834.74,3605.393,,3605.393,79.9
74,,,9.094,9.094,11.561,202,4917647,,86,,,11.561,,,2016-05-07 07:07:17,3,128.0,428,57.0,3386.65,372.398,,372.398,
83,146,170,9.649,9.649,12.456,202,4917647,0.949,109,166,331,12.456,190,200,2016-05-24 17:42:10,0,713.0,5832,2.0,40452.17,4199.243,,4192.251,104.2
80,146,,7.712,7.712,14.024,189,4917647,,119,174,,14.024,,,2015-06-21 11:50:27,172,524.0,3588,185.0,22954.61,2976.477,,2976.477,
82,147,175,9.768,9.768,15.517,242,4917647,0.519,111,173,582,15.517,207,400,2016-10-25 18:54:52,0,621.0,4950,0.0,35236.61,3608.197,,3607.198,26.7
